MZ233768 gamma_MZ233768
MZ554991.1 gamma_MZ554991.1
MW990258 gamma_MW990258
MZ282540 gamma_MZ282540
MZ432230.1 gamma_MZ432230.1
MW932563 gamma_MW932563
MW963269 gamma_MW963269
MZ076163 gamma_MZ076163
MZ536382.1 gamma_MZ536382.1
MZ358722 gamma_MZ358722
MZ493361.1 gamma_MZ493361.1
MZ126788 gamma_MZ126788
MZ536480.1 gamma_MZ536480.1
MZ072954 gamma_MZ072954
MZ486482.1 gamma_MZ486482.1
MZ358460 gamma_MZ358460
MZ190290 gamma_MZ190290
MW932460 gamma_MW932460
MZ210594 gamma_MZ210594
MZ184522 gamma_MZ184522
MZ536383.1 gamma_MZ536383.1
MZ267336 gamma_MZ267336
MZ171833 gamma_MZ171833
MZ341534 gamma_MZ341534
MZ187355 gamma_MZ187355
MZ539075.1 gamma_MZ539075.1
MZ240035 gamma_MZ240035
MZ454427.1 gamma_MZ454427.1
MZ451756.1 gamma_MZ451756.1
MZ244968 gamma_MZ244968
MZ282685 gamma_MZ282685
MZ023012 gamma_MZ023012
MZ432583.1 gamma_MZ432583.1
MZ100693 gamma_MZ100693
MZ337553 gamma_MZ337553
MZ315210 gamma_MZ315210
MZ003835 gamma_MZ003835
MZ337568 gamma_MZ337568
MZ059360 gamma_MZ059360
MZ076697 gamma_MZ076697
MZ512828.1 gamma_MZ512828.1
MZ536419.1 gamma_MZ536419.1
MZ083813 gamma_MZ083813
MZ171579 gamma_MZ171579
MZ453600.1 gamma_MZ453600.1
MZ180429 gamma_MZ180429
MZ319690 gamma_MZ319690
MZ154453 gamma_MZ154453
MZ180448 gamma_MZ180448
MZ180626 gamma_MZ180626
MZ293652 gamma_MZ293652
MZ255620 gamma_MZ255620
MZ393520 gamma_MZ393520
MZ341826 gamma_MZ341826
MZ083336 gamma_MZ083336
MZ536340.1 gamma_MZ536340.1
MZ337550 gamma_MZ337550
MZ238800 gamma_MZ238800
MZ455356.1 gamma_MZ455356.1
MZ494006.1 gamma_MZ494006.1
MZ536288.1 gamma_MZ536288.1
MZ532704.1 gamma_MZ532704.1
MZ084459 gamma_MZ084459
MZ368531 gamma_MZ368531
MZ384167 gamma_MZ384167
MZ416106.1 gamma_MZ416106.1
MZ440956.1 gamma_MZ440956.1
MZ280301 gamma_MZ280301
MZ021851 gamma_MZ021851
MZ280073 gamma_MZ280073
MZ433762.1 gamma_MZ433762.1
MZ536604.1 gamma_MZ536604.1
MZ002270 gamma_MZ002270
MZ132434 gamma_MZ132434
MZ164502 gamma_MZ164502
MZ056134 gamma_MZ056134
MZ008576 gamma_MZ008576
MZ372752 gamma_MZ372752
MZ072843 gamma_MZ072843
MZ368495 gamma_MZ368495
MZ056138 gamma_MZ056138
MZ282450 gamma_MZ282450
MW913848 gamma_MW913848
MZ536381.1 gamma_MZ536381.1
MZ570801.1 gamma_MZ570801.1
MZ397300.1 gamma_MZ397300.1
MZ038059 gamma_MZ038059
MZ071092 gamma_MZ071092
MW965879 gamma_MW965879
MZ212758 gamma_MZ212758
MZ268288 gamma_MZ268288
MZ361930 gamma_MZ361930
MZ239496 gamma_MZ239496
MZ284423 gamma_MZ284423
MZ059391 gamma_MZ059391
MW963290 gamma_MW963290
MZ317809 gamma_MZ317809
MZ241104 gamma_MZ241104
MZ340747 gamma_MZ340747
MZ153612 gamma_MZ153612
MZ340755 gamma_MZ340755
MZ354287 gamma_MZ354287
MZ368018 gamma_MZ368018
MZ280933 gamma_MZ280933
MW911880 gamma_MW911880
MZ467966.1 gamma_MZ467966.1
MZ505756.1 gamma_MZ505756.1
MZ010001 gamma_MZ010001
MZ166063 gamma_MZ166063
MZ132443 gamma_MZ132443
MZ240246 gamma_MZ240246
MZ378650 gamma_MZ378650
MZ238197 gamma_MZ238197
MZ153758 gamma_MZ153758
MZ492364.1 gamma_MZ492364.1
MZ536371.1 gamma_MZ536371.1
MZ084310 gamma_MZ084310
MZ252770 gamma_MZ252770
MZ553982.1 gamma_MZ553982.1
MZ319429 gamma_MZ319429
MZ375697 gamma_MZ375697
MZ531278.1 gamma_MZ531278.1
MZ054852 gamma_MZ054852
MZ144326 gamma_MZ144326
MZ156735 gamma_MZ156735
MW863061 gamma_MW863061
MZ280898 gamma_MZ280898
MZ239054 gamma_MZ239054
MZ512942.1 gamma_MZ512942.1
MZ186463 gamma_MZ186463
MZ354303 gamma_MZ354303
MW963761 gamma_MW963761
MZ239102 gamma_MZ239102
MZ142763 gamma_MZ142763
MZ186649 gamma_MZ186649
MZ185387 gamma_MZ185387
MZ333408 gamma_MZ333408
MZ239017 gamma_MZ239017
MZ144353 gamma_MZ144353
MZ163246 gamma_MZ163246
MZ215315 gamma_MZ215315
MZ378515 gamma_MZ378515
MZ283788 gamma_MZ283788
MZ478009.1 gamma_MZ478009.1
MZ253020 gamma_MZ253020
MZ385946 gamma_MZ385946
MZ536373.1 gamma_MZ536373.1
MZ028563 gamma_MZ028563
MZ433676.1 gamma_MZ433676.1
MZ356701 gamma_MZ356701
MZ414464.1 gamma_MZ414464.1
MZ376333 gamma_MZ376333
MZ252862 gamma_MZ252862
MZ186204 gamma_MZ186204
MZ356668 gamma_MZ356668
MZ141147 gamma_MZ141147
MZ278508 gamma_MZ278508
MZ354267 gamma_MZ354267
MZ083967 gamma_MZ083967
MZ356706 gamma_MZ356706
MZ536412.1 gamma_MZ536412.1
MZ450303.1 gamma_MZ450303.1
MZ377488 gamma_MZ377488
MZ233770 gamma_MZ233770
MZ279103 gamma_MZ279103
MZ291364 gamma_MZ291364
MZ070909 gamma_MZ070909
MZ271380 gamma_MZ271380
MZ166059 gamma_MZ166059
MZ179744 gamma_MZ179744
MZ083700 gamma_MZ083700
MZ084631 gamma_MZ084631
MZ337570 gamma_MZ337570
MW963351 gamma_MW963351
MZ358435 gamma_MZ358435
MZ171569 gamma_MZ171569
MZ386446 gamma_MZ386446
MZ415057.1 gamma_MZ415057.1
MW963294 gamma_MW963294
MZ533415.1 gamma_MZ533415.1
MZ085193 gamma_MZ085193
MZ212463 gamma_MZ212463
MW965882 gamma_MW965882
MZ144378 gamma_MZ144378
MZ341560 gamma_MZ341560
MZ294109 gamma_MZ294109
MZ533419.1 gamma_MZ533419.1
MZ412030.1 gamma_MZ412030.1
MZ454999.1 gamma_MZ454999.1
MZ188238 gamma_MZ188238
MZ244470 gamma_MZ244470
MZ307259 gamma_MZ307259
MZ328971 gamma_MZ328971
MZ385932 gamma_MZ385932
MZ538725.1 gamma_MZ538725.1
MW990289 gamma_MW990289
MZ075440 gamma_MZ075440
MZ133216 gamma_MZ133216
MZ222418 gamma_MZ222418
MZ360019 gamma_MZ360019
MZ357242 gamma_MZ357242
MZ461118.1 gamma_MZ461118.1
MZ433774.1 gamma_MZ433774.1
MZ171729 gamma_MZ171729
MZ184646 gamma_MZ184646
MZ238929 gamma_MZ238929
MZ291354 gamma_MZ291354
MZ084809 gamma_MZ084809
MZ554023.1 gamma_MZ554023.1
MW877046 gamma_MW877046
MZ072306 gamma_MZ072306
MZ233890 gamma_MZ233890
MZ372580 gamma_MZ372580
MZ316172 gamma_MZ316172
MZ322030 gamma_MZ322030
MZ536567.1 gamma_MZ536567.1
MZ306390 gamma_MZ306390
MZ082724 gamma_MZ082724
MZ211270 gamma_MZ211270
MZ244942 gamma_MZ244942
MZ356724 gamma_MZ356724
MZ536279.1 gamma_MZ536279.1
MZ554178.1 gamma_MZ554178.1
MZ341268 gamma_MZ341268
MZ343793 gamma_MZ343793
MZ075795 gamma_MZ075795
MZ372219 gamma_MZ372219
MZ006400 gamma_MZ006400
MZ493977.1 gamma_MZ493977.1
MZ536289.1 gamma_MZ536289.1
MZ241068 gamma_MZ241068
MZ282274 gamma_MZ282274
MZ002268 gamma_MZ002268
MZ142748 gamma_MZ142748
MZ349201 gamma_MZ349201
MZ132819 gamma_MZ132819
MZ284411 gamma_MZ284411
MZ211497 gamma_MZ211497
MZ179841 gamma_MZ179841
MZ533196.1 gamma_MZ533196.1
MW877047 gamma_MW877047
MZ307171 gamma_MZ307171
MZ533251.1 gamma_MZ533251.1
MZ271299 gamma_MZ271299
MZ212286 gamma_MZ212286
MZ368500 gamma_MZ368500
MZ376603 gamma_MZ376603
MZ038697 gamma_MZ038697
MZ166057 gamma_MZ166057
MZ455429.1 gamma_MZ455429.1
MZ372040 gamma_MZ372040
MW834965 gamma_MW834965
MZ252969 gamma_MZ252969
MZ315485 gamma_MZ315485
MZ386015 gamma_MZ386015
MZ009379 gamma_MZ009379
MZ237426 gamma_MZ237426
MZ544668.1 gamma_MZ544668.1
MZ180569 gamma_MZ180569
MZ252603 gamma_MZ252603
MZ372439 gamma_MZ372439
MZ133171 gamma_MZ133171
MZ469434.1 gamma_MZ469434.1
MZ536434.1 gamma_MZ536434.1
MZ404757.1 gamma_MZ404757.1
MZ170265 gamma_MZ170265
MZ375574 gamma_MZ375574
MZ022843 gamma_MZ022843
MZ072687 gamma_MZ072687
MZ211671 gamma_MZ211671
MZ201601 gamma_MZ201601
MW963264 gamma_MW963264
MZ187722 gamma_MZ187722
MZ185115 gamma_MZ185115
MZ453659.1 gamma_MZ453659.1
MZ075990 gamma_MZ075990
MZ179849 gamma_MZ179849
MZ059577 gamma_MZ059577
MW908628 gamma_MW908628
MZ281107 gamma_MZ281107
MZ281637 gamma_MZ281637
MZ278512 gamma_MZ278512
MW965867 gamma_MW965867
MZ245331 gamma_MZ245331
MZ022296 gamma_MZ022296
MZ210413 gamma_MZ210413
MZ354336 gamma_MZ354336
MZ240706 gamma_MZ240706
MZ293992 gamma_MZ293992
MZ386575 gamma_MZ386575
MZ278420 gamma_MZ278420
MZ462364.1 gamma_MZ462364.1
MZ536339.1 gamma_MZ536339.1
MZ022235 gamma_MZ022235
MZ036931 gamma_MZ036931
MZ201797 gamma_MZ201797
MZ329004 gamma_MZ329004
MZ536565.1 gamma_MZ536565.1
MZ405276.1 gamma_MZ405276.1
MZ536592.1 gamma_MZ536592.1
MW908214 gamma_MW908214
MZ212462 gamma_MZ212462
MZ037370 gamma_MZ037370
MZ375859 gamma_MZ375859
MZ278528 gamma_MZ278528
MZ278412 gamma_MZ278412
MZ185849 gamma_MZ185849
MZ440918.1 gamma_MZ440918.1
MZ163602 gamma_MZ163602
MZ307484 gamma_MZ307484
MZ386386 gamma_MZ386386
MZ194534 gamma_MZ194534
MZ252940 gamma_MZ252940
MZ236986 gamma_MZ236986
MZ315410 gamma_MZ315410
MZ060247 gamma_MZ060247
MW963213 gamma_MW963213
MZ006538 gamma_MZ006538
MZ133259 gamma_MZ133259
MZ075676 gamma_MZ075676
MZ024735 gamma_MZ024735
MZ084815 gamma_MZ084815
MZ539074.1 gamma_MZ539074.1
MZ180834 gamma_MZ180834
MZ022604 gamma_MZ022604
MZ187391 gamma_MZ187391
MZ252285 gamma_MZ252285
MZ283407 gamma_MZ283407
MZ397168.1 gamma_MZ397168.1
MZ280282 gamma_MZ280282
MZ284763 gamma_MZ284763
MW834977 gamma_MW834977
MW990302 gamma_MW990302
MZ536347.1 gamma_MZ536347.1
MZ164482 gamma_MZ164482
MZ222468 gamma_MZ222468
MZ372431 gamma_MZ372431
MW963305 gamma_MW963305
MZ319724 gamma_MZ319724
MZ046442 gamma_MZ046442
MZ282801 gamma_MZ282801
MZ166054 gamma_MZ166054
MZ232846 gamma_MZ232846
MZ195441 gamma_MZ195441
MZ564408.1 gamma_MZ564408.1
MZ232740 gamma_MZ232740
MZ279375 gamma_MZ279375
MZ342120 gamma_MZ342120
MZ253834 gamma_MZ253834
MW969333 gamma_MW969333
MZ356618 gamma_MZ356618
MZ023880 gamma_MZ023880
MZ386170 gamma_MZ386170
MZ469405.1 gamma_MZ469405.1
MZ024123 gamma_MZ024123
MZ058132 gamma_MZ058132
MZ142020 gamma_MZ142020
MZ440914.1 gamma_MZ440914.1
MZ186254 gamma_MZ186254
MZ278076 gamma_MZ278076
MZ376242 gamma_MZ376242
MZ341882 gamma_MZ341882
MZ532267.1 gamma_MZ532267.1
MZ037759 gamma_MZ037759
MZ044593 gamma_MZ044593
MZ099855 gamma_MZ099855
MZ316272 gamma_MZ316272
MZ342096 gamma_MZ342096
MZ566430.1 gamma_MZ566430.1
MZ059841 gamma_MZ059841
MZ072433 gamma_MZ072433
MW689888 gamma_MW689888
MZ206256 gamma_MZ206256
